county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,seg_missing_bool
Lubbock,8.8743528753,251.0,82.23442,45.0,20.3,5.0405662006,7177,9.4384534456,47350,15.9,43.908668797,144.43158,50377,54.949407797,307412,50.729314405,11.335540166,2020,,,3980.0,0.9411619891678976,0.948547513540128,0.964303298867553,0.946085672082718,0.9428852781880848,0.109,0.1714,0.0711,0.75,0.74,692.0,0
Lynn,8.8122605364,3.0,51.20328,31.0,26.8,,195,12.081784387,720,12.5,,68.06193999999999,43436,57.998683344,5877,49.004594181,56.720202874,2020,,,68.0,0.967741935483871,0.9758064516129032,0.9758064516129032,0.967741935483871,0.9596774193548387,0.1143,0.1758,0.0766,0.89,0.99,1469.0,1
Madison,7.3646850044,3.0,21.09408,42.0,23.4,,397,12.785829308,2440,17.4,46.613383608,27.7354,45445,69.34710439,14422,42.566911663,67.403395785,2020,,,176.0,1.0,0.9891304347826086,1.0,1.0,0.9836956521739132,0.1225,0.1864,0.0827,0.84,0.96,3606.0,0
Marion,9.8613251156,,,37.0,34.0,,220,11.311053985,2290,22.6,35.431635318,30.21757,38011,74.29245283,9928,51.228847703,100.0,2020,,,91.0,0.9722222222222222,0.9444444444444444,1.0,0.9861111111111112,0.9722222222222222,0.1276,0.1901,0.0861,0.69,0.97,3309.0,0
Martin,8.2335329341,2.0,35.54924,35.0,19.6,,324,17.792421746,460,8.2,,34.76447,56484,51.265822785,5753,49.40031288,100.0,2020,,,86.0,0.9401709401709402,0.9145299145299144,0.9572649572649572,0.9487179487179488,0.9230769230769232,0.1235,0.1873,0.0822,0.42,0.89,2877.0,1
Mason,6.8965517241,,,42.0,23.4,,234,25.490196078,570,13.8,,46.72897,49560,46.153846154,4280,49.929906542,100.0,2020,,,33.0,0.9682539682539684,0.9365079365079364,0.9682539682539684,0.9682539682539684,0.9682539682539684,0.1235,0.1873,0.0822,0.36,0.81,2140.0,1
Lavaca,7.3981191223,14.0,69.78367,35.0,22.2,,611,12.26661313,2920,14.7,26.126186752,54.69915,51128,42.534864643,20110,51.158627548,81.316513523,2020,,,227.0,0.9797101449275364,0.9681159420289857,0.982608695652174,0.982608695652174,0.9710144927536232,0.1134,0.1709,0.0762,0.69,0.91,1828.0,0
Karnes,8.1214109926,4.0,26.338320000000003,43.0,25.3,,397,12.204119275,1790,11.9,52.322555233,19.16933,48743,70.358934774,15650,41.156549521,38.390447922,2020,,,175.0,0.9748743718592964,0.9748743718592964,0.984924623115578,0.984924623115578,0.984924623115578,0.1134,0.1709,0.0762,0.84,0.97,5217.0,0
Reagan,7.7951002227,2.0,53.90836,19.0,13.5,,160,14.047410009,320,8.5,,53.46164,65273,63.562281723,3741,46.511627907,13.305613306,2020,,,56.0,0.9090909090909092,0.9242424242424242,1.0,0.8939393939393939,0.9242424242424242,0.1235,0.1873,0.0822,0.48,0.94,1871.0,1
Red River,9.8765432099,2.0,16.35457,49.0,28.6,,287,11.493792551,2480,20.1,49.590776375,24.64066,42233,66.209829868,12175,51.441478439,75.730948678,2020,,,110.0,0.9659863945578232,0.9727891156462584,0.9931972789115646,0.9863945578231292,0.979591836734694,0.1283,0.1937,0.0866,0.56,0.99,4058.0,0
