county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Clay,5.0243111831,4.0,38.384029999999996,45.0,16.9,,296,13.016710642,1670,16.1,,19.12777,5228:1,58356,46.344271733,10456,50.181713849,74.600074405,2020,,,0.0,59.0,79.0,2.5,92,0.1293,0.1898,0.087,0.32,Low Vulnerability,0.68,High Concern,5228,1
Cochran,8.4175084175,1.0,35.07541,21.0,31.8,,146,18.741976893,380,13.1,,35.260929999999995,2836:1,42873,77.793493635,2836,49.823695346,100.0,2020,,,0.0,33.5,39.5,5.0,41,0.1143,0.1758,0.0766,0.86,Very High Vulnerability,0.99,Very High Concern,2836,1
Coke,6.0344827586,,,46.0,21.4,,113,15.311653117,510,15.6,,0.0,3370:0,44804,53.537284895,3370,50.56379822,100.0,2020,,,0.0,28.5,27.5,0.0,37,0.1235,0.1873,0.0822,0.62,High Vulnerability,0.91,Very High Concern,3370,0
Coleman,11.265164645,5.0,59.31198,25.0,30.6,,265,14.33207139,1500,17.8,52.707060421,59.545080000000006,1679:1,39484,64.323507181,8397,49.505775872,51.545812254,2020,,,0.0,46.0,55.0,0.0,74,0.1278,0.1901,0.086,0.42,Moderate Vulnerability,0.94,Very High Concern,1679,1
Collin,7.7723144254,918.0,94.67792,55.0,6.7,4.2660106258,22472,8.253147449,130090,14.2,24.937604784,71.92985,1390:1,96936,23.07329027,1005146,50.773121517,5.2427266371,2020,,,0.0,6287.0,5579.0,235.0,11422,0.083,0.1234,0.0542,0.15,Very Low Vulnerability,0.49,Moderate Concern,1390,1
Collingsworth,7.6923076923,,,14.0,26.7,,188,22.70531401,400,13.3,,168.80486,592:1,39536,61.054421769,2962,51.080351114,100.0,2020,,,0.0,34.5,22.5,0.0,23,0.1241,0.1883,0.0824,0.89,Very High Vulnerability,0.98,Very High Concern,592,1
Colorado,8.6714841579,10.0,47.09872,31.0,21.9,11.160714286,727,14.218658322,2850,13.6,26.476277405,28.27921,3536:1,48258,64.609286523,21217,49.733704105,62.613777906,2020,,,0.0,137.0,125.0,2.5,221,0.1114,0.1704,0.0738,0.68,High Vulnerability,0.93,Very High Concern,3536,1
Comal,7.8039215686,98.0,69.49911,44.0,10.2,5.4650047939,3235,9.5261933508,15260,11.8,46.330893613,64.70179999999999,1546:1,76523,31.555606095,148373,50.57523943,46.145549082,2020,,,0.0,1404.0,1296.0,24.5,1662,0.0937,0.1369,0.0619,0.24,Low Vulnerability,0.64,High Concern,1546,1
Comanche,6.7619047619,6.0,44.20541,25.0,25.0,,520,16.326530612,1970,14.6,44.809687706,59.11039,1692:1,52251,63.597246127,13534,50.214275159,71.461285244,2020,,,0.0,155.0,148.5,5.0,143,0.1278,0.1901,0.086,0.73,High Vulnerability,0.92,Very High Concern,1692,1
Concho,8.0459770115,1.0,36.8053,40.0,25.7,,88,15.384615385,350,9.1,,46.77268,2138:1,40987,65.384615385,4276,29.373246024,100.0,2020,,,0.0,22.5,27.5,5.0,23,0.1235,0.1873,0.0822,0.43,Moderate Vulnerability,0.96,Very High Concern,2138,1
Cooke,6.2695109261,13.0,32.585539999999995,41.0,24.9,5.3547523427,1254,12.844412578,6080,15.6,48.717654389,73.93898,1352:1,52047,56.768115942,40574,50.061615813,59.03426386,2020,,,0.0,415.0,476.0,10.0,485,0.1317,0.1945,0.0881,0.62,High Vulnerability,0.85,Very High Concern,1352,1
Coryell,8.2834185537,17.0,22.692989999999998,35.0,20.1,7.491759065,1629,9.1434665469,13890,18.3,38.683900773,50.796710000000004,1969:1,48099,52.832172427,74808,50.348893167,19.423515679,2020,,,0.0,548.0,481.0,10.0,913,0.1264,0.1929,0.0847,0.78,High Vulnerability,0.82,Very High Concern,1969,1
Cottle,,0.0,0.0,19.0,40.1,,62,19.74522293,270,18.1,,0.0,1389:0,38304,66.822429907,1389,51.475881929,100.0,2020,,,0.0,15.0,15.0,0.0,,0.1293,0.1898,0.087,0.94,Very High Vulnerability,1.0,Very High Concern,1389,0
Crane,7.7519379845,1.0,21.09705,18.0,13.6,,171,11.468812877,410,8.4,,20.85941,4794:1,61987,53.027681661,4794,49.624530663,10.697142857,2020,,,0.0,70.5,77.0,7.5,59,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.93,Very High Concern,4794,1
